Date,Model,Dataset,Num_Features_Selected,CV_R2,CV_MAE,CV_MSE,Eval_Mode,Eval_R2,Eval_MAE,Eval_MSE,Eval_RMSE,Use_Weights,Weight_Bins,Weight_Power,Weight_Clip,Best_Params,LOOCV_Group_Col
2026-02-20 20:24:55,XGB_Regressor,$F_{\mathrm{All}}^{C}$,20,0.8016508109072624,1.1839379681628224,3.4810307612950395,SUBJECT_LOOCV(Sub),0.6201857033417069,1.744782263750857,6.686820241660927,2.5858886754191346,True,10,1.0,"(0.2, 5.0)","{'colsample_bytree': 0.5, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 400, 'reg_lambda': 3.0, 'subsample': 0.5}",Sub
2026-02-20 20:58:22,Ridge_Regressor,$F_{\mathrm{D}}^{P}$,20,0.3375221354787465,2.690814315210811,13.384775137402732,SUBJECT_LOOCV(Sub),0.21895542412764302,2.9834417460851053,15.789291783108679,3.973574182409167,True,10,1.0,"(0.2, 5.0)",{'model__alpha': 0.01},Sub,1.0
2026-02-20 20:58:39,Ridge_Regressor,$F_{\mathrm{DINT}}^{P}$,20,0.30983374037494427,2.788373073363311,13.944027478495673,SUBJECT_LOOCV(Sub),0.17250177946436007,3.112742781444795,16.72838050177522,4.090034291026815,True,10,1.0,"(0.2, 5.0)",{'model__alpha': 1.0},Sub,1.0
2026-02-20 20:58:52,Ridge_Regressor,$F_{\mathrm{DinDP}}^{P}$,20,0.3548050064295614,2.6822239229008984,13.034947228763466,SUBJECT_LOOCV(Sub),0.19305681079012116,3.061024686538582,16.312848024834466,4.038916689513967,True,10,1.0,"(0.2, 5.0)",{'model__alpha': 0.01},Sub,1.0
2026-02-20 20:59:05,Ridge_Regressor,$F_{\mathrm{DinDC}}^{P}$,20,0.3443850565372003,2.697417509789326,13.246859410733325,SUBJECT_LOOCV(Sub),0.15433361825380842,3.1199677941258983,17.09566094565457,4.134689945528512,True,10,1.0,"(0.2, 5.0)",{'model__alpha': 0.01},Sub,1.0
2026-02-20 20:59:20,Ridge_Regressor,$F_{\mathrm{DinDINT}}^{P}$,20,0.38131905115366627,2.5811841864538296,12.499864537917128,SUBJECT_LOOCV(Sub),0.2652392019569073,2.85203025531326,14.853637025946314,3.8540416481852287,True,10,1.0,"(0.2, 5.0)",{'model__alpha': 0.01},Sub,1.0
2026-02-20 20:59:35,Ridge_Regressor,$F_{\mathrm{All}}^{P}$,20,0.38626929453456543,2.5687452740981174,12.402185234099912,SUBJECT_LOOCV(Sub),0.15897608939461894,3.0381135124946668,17.001810564125385,4.123325182922805,True,10,1.0,"(0.2, 5.0)",{'model__alpha': 0.01},Sub,1.0
2026-02-20 20:59:42,Ridge_Regressor,$F_{\mathrm{D}}^{C}$,20,0.25589953313124264,2.715975546110847,13.119285988682865,SUBJECT_LOOCV(Sub),0.11204724990955339,3.0334074786795866,15.632851304397153,3.953840070665119,True,10,1.0,"(0.2, 5.0)",{'model__alpha': 0.01},Sub,1.0
2026-02-20 20:59:50,Ridge_Regressor,$F_{\mathrm{DINT}}^{C}$,20,0.2611714757483655,2.682252792561824,13.014181756206195,SUBJECT_LOOCV(Sub),0.1407320698514748,2.915448079110137,15.12784073395882,3.889452497969196,True,10,1.0,"(0.2, 5.0)",{'model__alpha': 1.0},Sub,1.0
2026-02-20 20:59:58,Ridge_Regressor,$F_{\mathrm{DinDC}}^{C}$,20,0.29614847569604036,2.5990789265463765,12.410899254412808,SUBJECT_LOOCV(Sub),0.14287748188644123,2.954153703630552,15.090069684400294,3.8845938892502385,True,10,1.0,"(0.2, 5.0)",{'model__alpha': 0.01},Sub,1.0
